scope,column,notion_type,meaning,units_formula_denominator,source,null_semantics,permissible_inference,owner_field,options
reel,Name,title,Stable Reel code/title used as the projection identity.,Identity string; no denominator.,package.private.json reels.properties / frozen Signal release,Required for a row.,Stable identity only; not a performance claim.,false,
reel,Release,rich_text,Signal release identifier bound to this row.,Release key; no denominator.,package.private.json reels.properties / frozen Signal release,Required for provenance.,Binds the row to one immutable release; does not make values current beyond its snapshot.,false,
reel,Account,rich_text,Source account username.,String; no denominator.,package.private.json reels.properties / frozen Signal release,Null means source identity was unavailable.,Groups rows for account-level summaries; not identity verification beyond the source export.,false,
reel,Source,url,Canonical public Reel URL captured in the export.,URL; no denominator.,package.private.json reels.properties / frozen Signal release,Null means no URL was supplied.,Locator/provenance only; URL availability is not media or rights proof.,false,
reel,Snapshot,rich_text,Date associated with the source metric snapshot.,ISO date; no denominator.,package.private.json reels.properties / frozen Signal release,Required for release rows.,Dates rows to one snapshot; not an exact capture timestamp.,false,
reel,Views,number,Observed play/view counter.,"Count; denominator for per-1,000 rates.",package.private.json reels.properties / frozen Signal release,"Observed value only; null is unknown, not zero.","Describes the recorded snapshot counter; does not prove reach, audience or exposure horizon.",false,
reel,Likes,number,Observed like counter.,Count; rate denominator is Views.,package.private.json reels.properties / frozen Signal release,"Observed value only; null is unknown, not zero.",Describes the recorded snapshot counter; no causal engagement conclusion.,false,
reel,Comments,number,Observed comment counter.,Count; rate denominator is Views.,package.private.json reels.properties / frozen Signal release,"Observed value only; null is unknown, not zero.",Describes the recorded snapshot counter; no sentiment or demand conclusion.,false,
reel,Reshares,number,Observed reshare counter under source semantics.,Count; rate denominator is Views.,package.private.json reels.properties / frozen Signal release,"Observed value only; null is unknown, not zero.",Keep separate from saves/sends unless provider semantics are documented.,false,
reel,Saves,number,Observed save counter.,Count; rate denominator is Views.,package.private.json reels.properties / frozen Signal release,Null means save count was not observed; zero means observed zero.,Can support missingness-aware descriptive rates; not an assumed zero.,false,
reel,Seconds,number,Source duration of the Reel.,Seconds; no engagement denominator.,package.private.json reels.properties / frozen Signal release,Null means duration was not observed.,Describes source duration only; not retention or watch-time evidence.,false,
reel,Published UTC,rich_text,Source publication timestamp.,UTC ISO timestamp; age control uses date difference to Snapshot.,package.private.json reels.properties / frozen Signal release,Null means publication time was not observed.,Supports an age-to-snapshot calculation; not exact exposure age or recency causality.,false,
reel,Eligibility,rich_text,Numeric/exposure eligibility gate in the Signal release.,PASS/FAIL state; denominator is the release row set.,package.private.json reels.properties / frozen Signal release,Unknown means gate could not be evaluated.,Defines analysis eligibility only; does not mean content quality or final selection.,false,
reel,View index,number,Views relative to the account baseline median.,Views / account median views; account baseline denominator.,package.private.json reels.properties / frozen Signal release,Null means account baseline or valid views was unavailable.,Snapshot diagnostic relative to this account baseline; not normalized historical reach.,false,
reel,Diagnostic z,number,Equal-weight robust diagnostic across available component rates.,Robust-z component aggregation; component denominator is available components.,package.private.json reels.properties / frozen Signal release,Null means insufficient component coverage or invalid metrics.,"Review queue diagnostic only; not a probability, causal effect or final Best score.",false,
reel,Components,number,Number of non-null within-account robust-z diagnostic components after exposure eligibility and per-component baseline-support gates.,"Integer 0–5: count available robust z scores for log1p(Views), Likes/Views*1000, Comments/Views*1000, Reshares/Views*1000 and Saves/Views*1000. Each baseline uses eligible account rows with that component observed and must meet minimum_baseline_n. Robust scales use configured MAD floors and clipping; View index is not a component.",package.private.json reels.properties / frozen Signal release,"Zero means no component survives the gates, even when display metrics are populated. The engine always supplies this count; null in Notion means missing projection data. A partial count can reflect missing inputs or insufficient per-component support.","Coverage of gated diagnostic z components only; not count of populated columns, final quality, significance or causal performance.",false,
